ID,name,sq.km,left,right,top,bottom,width,height,center.x,center.y
1,Parker Pass,78.59,-129.4810867,-129.2744064,52.8154207,52.75271081,0.206680298,0.062709887,-129.3777466,52.78406576
2,Central Loredo,44.82,-129.2744064,-129.0512466,52.8156282,52.75271081,0.22315979,0.062917385,-129.1628265,52.7841695
3,North Loredo,45.17,-129.2737198,-129.1175079,52.85918095,52.8156282,0.156211853,0.043552748,-129.1956139,52.83740457
4,West Rennison,38.56,-129.4814301,-129.3482208,52.85938824,52.8156282,0.133209229,0.043760038,-129.4148254,52.83750822
5,Ulric-GW-Wall,15.63,-129.3482208,-129.2740631,52.85938824,52.8154207,0.074157715,0.043967536,-129.311142,52.83740447
6,Hecate,97.74,-129.6177292,-129.4817734,52.91180069,52.8156282,0.135955811,0.096172488,-129.5497513,52.86371444
7,Racey Inlet,12.16,-129.1171646,-128.9966583,52.91221476,52.83575085,0.120506287,0.076463914,-129.0569115,52.8739828
8,SW Caamano,51.55,-129.4817734,-129.3485641,52.91159365,52.85959552,0.133209229,0.051998123,-129.4151688,52.88559459
9,S Central Caamano,28.96,-129.3482208,-129.2744064,52.91180069,52.85959552,0.073814392,0.052205162,-129.3113136,52.8856981
10,SE Caamano,57.63,-129.2740631,-129.1175079,52.91200772,52.85897365,0.156555176,0.053034069,-129.1957855,52.88549069
11,Dewedney Group,48.82,-129.6177292,-129.4821167,52.97014624,52.91200772,0.135612488,0.058138512,-129.5499229,52.94107698
12,NW Caamano,53.04,-129.4821167,-129.3571472,52.96993948,52.91200772,0.124969482,0.057931752,-129.419632,52.9409736
13,N Central Caamano,32.14,-129.3574905,-129.2737198,52.96993948,52.91200772,0.083770752,0.057931752,-129.3156052,52.9409736
14,NE Caamano,37.44,-129.2740631,-129.1657448,52.97004286,52.91221476,0.108318329,0.057828095,-129.2199039,52.94112881
15,Chapple Inlet,4.47,-129.1659164,-129.1072083,52.99267716,52.91221476,0.058708191,0.080462399,-129.1365623,52.95244596
16,Surf Inlet,17.12,-129.0656662,-128.8764954,53.03749733,52.91262883,0.189170837,0.124868497,-128.9710808,52.97506308
17,Estevan Group,36.17,-129.6177292,-129.4817734,53.04224513,52.97014624,0.135955811,0.07209889,-129.5497513,53.00619568
18,South Estevan,37.87,-129.4817734,-129.3571472,53.04224513,52.96993948,0.12462616,0.072305651,-129.4194603,53.0060923
19,Campania,59.68,-129.3190384,-129.1738129,53.04224513,52.96993948,0.145225525,0.072305651,-129.2464256,53.0060923
20,South of Gil,38.13,-129.3190384,-129.2153549,53.10907158,53.04245154,0.103683472,0.066620042,-129.2671967,53.07576156
21,Casavane Passage,5.62,-129.2153549,-129.1576767,53.06659516,53.04224513,0.057678223,0.024350039,-129.1865158,53.05442015
22,Central Estevan,74.53,-129.6815872,-129.4361115,53.13544358,53.04265795,0.245475769,0.092785629,-129.5588493,53.08905077
23,S Squally,39.21,-129.4361115,-129.3190384,53.13544358,53.04245154,0.117073059,0.092992042,-129.3775749,53.08894756
24,Whale Point,10.82,-129.2153549,-129.1678047,53.10907158,53.06659516,0.047550201,0.042476417,-129.1915798,53.08783337
25,S Whale,31.4,-129.1672897,-129.0763092,53.13873894,53.06700776,0.09098053,0.071731185,-129.1217995,53.10287335
26,N Estevan,91.6,-129.6812439,-129.547348,53.24652242,53.13585552,0.133895874,0.110666901,-129.614296,53.19118897
27,S Central Squally,44.95,-129.4776535,-129.3386078,53.18731618,53.13544358,0.139045715,0.051872601,-129.4081306,53.16137988
28,Central Whale,46.87,-129.1796494,-129.0471268,53.21364017,53.13873894,0.132522583,0.074901223,-129.1133881,53.17618956
