,caa,est,cmp,ash,ssq,nsq,wha,lew,wri,dug,mck,ver,bish
caa,none,none,none,cmp,cmp,cmp-ssq,cmp-ash,cmp-ssq-est,cmp-ssq-nsq-est-wha-ash-lew,cmp-est-ssq-nsq-ash-wha-lew-wri,cmp-ash-wha,cmp-ash-wri-wha-mck,cmp-ash-wri-wha-mck
est,xxx,none,ssq-caa,ssq-caa-cmp,caa-cmp,none,nsq-ash-cmp-lew-wri,nsq,cmp-nsq-lew,nsq-lew-wri,nsq-lew-wri-cmp-ash-wha,nsq-lew-wri,nsq-lew-wri-mck
cmp,xxx,xxx,none,none,none,ssq,ash,ssq,ash-wha-ssq-lew,ash-wha-wri,ash-wha,ash-wha-wri,ash-wha-wri-mck
ash,xxx,xxx,xxx,none,none,cmp,none,wha-wri-cmp-squ,wha,wha-wri,wha,wha-wri,wha-mck
ssq,xxx,xxx,xxx,xxx,none,none,cmp-ash,none,lew,lew-wri,lew-wri-ash-wha,lew-wri,lew-wri-mck
nsq,xxx,xxx,xxx,xxx,xxx,none,lew-wri-ssq-ash,none,lew,lew-wri,lew-wri,lew-wri,lew-wri-mck
wha,xxx,xxx,xxx,xxx,xxx,xxx,none,wri,none,wri,none,wri,mck
lew,xxx,xxx,xxx,xxx,xxx,xxx,xxx,none,none,wri,wri,wri,wri-ver-mck
wri,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,none,none,none,none,mck
dug,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,none,wri,wri,wri-mck
mck,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,none,wri,none
ver,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,none,mck
bish,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,none
