EID,X,Y,block
1,-129.2974091,52.83305454,caa
2,-129.3468475,52.86954421,caa
3,-129.1511536,52.88197686,caa
4,-129.2129517,52.92380726,caa
5,-129.2507172,52.94987904,caa
6,-129.2823029,52.95194756,caa
7,-129.3241882,52.94036259,caa
8,-129.4271851,52.93746587,caa
9,-129.4045258,52.96559728,est
10,-129.48349,53.01519634,est
11,-129.5727539,53.09691029,est
12,-129.5933533,53.16571022,est
13,-129.5130157,53.1961612,est
14,-129.4759369,53.21466812,nsq
15,-129.4711304,53.19245886,ssq
16,-129.2527771,53.00045471,cmp
17,-129.2108917,53.0008679,cmp
18,-129.2922892,53.0008679,cmp
19,-129.3070221,53.05277098,ssq
20,-129.2809296,53.07216485,ssq
21,-129.3454742,53.08948815,ssq
22,-129.3489075,53.12411385,ssq
23,-129.405899,53.12617402,ssq
24,-129.405899,53.17023808,ssq
25,-129.4203186,53.21507929,nsq
26,-129.3564006,53.2093225,ssq
27,-129.3708801,53.22453521,nsq
28,-129.3914795,53.28122687,nsq
29,-129.4697571,53.27958469,nsq
30,-129.4278717,53.28984728,nsq
31,-129.4793701,53.24590611,nsq
32,-129.3955994,53.25905213,nsq
33,-129.4326782,53.31774905,nsq
34,-129.3228149,53.24385168,lew
35,-129.2891693,53.27465778,lew
36,-129.3162618,53.29977245,lew
37,-129.2115784,53.08495177,ash
38,-129.1827393,53.087251,ash
39,-129.2465973,53.06350058,ash
40,-129.2232513,53.03708445,ash
41,-129.200592,53.03749733,ash
42,-129.1861725,53.05112004,ash
43,-129.1916656,53.06515106,ash
44,-129.179306,53.07587757,ash
45,-129.1449738,53.08612692,wha
46,-129.1175079,53.09113763,wha
47,-129.1319275,53.10721669,wha
48,-129.1319275,53.1290581,wha
49,-129.1291809,53.15788823,wha
50,-129.1078949,53.18834477,wha
51,-129.1401672,53.20191976,wha
52,-129.1195679,53.23809875,wha
53,-129.1621399,53.28533205,wha
54,-129.1147614,53.28738448,wha
55,-129.1216278,53.30380044,mck
56,-129.2156982,53.32103041,wri
57,-129.1669464,53.33497339,wri
58,-129.223938,53.35137105,wri
59,-129.2980957,53.32226086,lew
60,-129.2733765,53.33251319,wri
61,-129.3269348,53.32759238,lew
62,-129.287796,53.35751855,wri
63,-129.1635132,53.37595573,wri
64,-129.2106383,53.37764221,dug
65,-129.2280579,53.41971713,dug
66,-129.1937256,53.43735538,dug
67,-129.0735626,53.308724,mck
68,-129.0337372,53.31159581,mck
69,-129.028244,53.32923271,mck
70,-128.9925385,53.31036506,mck
71,-128.9533997,53.30708288,mck
72,-128.952713,53.29354121,mck
73,-128.9053345,53.30790345,mck
74,-128.9190674,53.32513176,mck
75,-128.9053345,53.366943,mck
76,-128.9039612,53.39561326,mck
77,-128.9252472,53.42958299,mck
78,-128.8950348,53.44758004,bish
79,-128.8813019,53.46924819,bish
80,-128.8483429,53.47129178,bish
81,-128.9582062,53.455758,mck
82,-128.9726257,53.47537867,mck
83,-128.9849854,53.49213081,mck
84,-128.9829254,53.51908379,mck
85,-129.007958,53.53863484,ver
86,-128.9774323,53.55988897,ver
87,-129.0474701,53.52643162,ver
88,-129.0790558,53.49090527,ver
89,-129.0680695,53.46148163,ver
90,-129.0749359,53.43980952,ver
91,-129.0948486,53.42426422,ver
92,-129.1326141,53.41485246,ver
93,-129.1339874,53.39479438,ver
