year,leg,block,sub,sta,d,z1,z2,z3,z4,z5,z6,z7,z8,fu,bft,per.cld,angle,mean,sd,eu.mn,eu.sd,X,Y
2013,1,VER,S,1,2013-07-06 08:49:41,5.1,5.868,5.625,NA,NA,NA,NA,NA,NA,0,5,VERTI,5.531,0.39253407495401,18.08637,1.28358642509961,-129.1393333,53.37296667
2013,1,VER,S,2,2013-07-06 10:16:42,6.224,6.183,5.47,NA,NA,NA,NA,NA,NA,0,5,VERTI,5.959,0.423982310951766,19.48593,1.38642215681227,-129.1221667,53.41916667
2013,1,VER,S,3,2013-07-06 11:44:50,5.9,6.144,6.1,NA,NA,NA,NA,NA,NA,1,20,VERTI,6.048,0.130046145656071,19.77696,0.425250896295351,-129.05686,53.43777333
2013,1,VER,C,4,2013-07-06 12:24:57,7.113,6.192,6.53,NA,NA,NA,NA,NA,NA,2,20,VERTI,6.61166666666667,0.465899488445022,21.62015,1.52349132721522,-129.0727467,53.47113667
2013,1,VER,C,5,2013-07-06 13:13:49,6.37,6.424,6.645,NA,NA,NA,NA,NA,NA,2,20,SLITE,6.47966666666667,0.145706325646258,21.18851,0.476459684863262,-129.0766567,53.50289
2013,1,VER,C,6,2013-07-06 15:01:44,4.872,5.475,8.27,NA,NA,NA,NA,NA,NA,3,20,VERTI,6.20566666666667,1.81301029598106,20.29253,5.92854366785807,-129.0089,53.53723333
2013,1,VER,N,7,2013-07-06 15:40:08,6.7,7.57,7.318,NA,NA,NA,NA,NA,NA,2,20,SLITE,7.196,0.44764718249979,23.53092,1.46380628677431,-128.9917933,53.55622
2013,1,VER,N,8,2013-07-06 17:12:38,5.952,5.3,5.48,NA,NA,NA,NA,NA,NA,2,30,VERTI,5.57733333333333,0.336721447688342,18.23788,1.10107913394088,-128.9741667,53.49033333
2013,1,VER,N,9,2013-07-06 18:00:41,5.97,5.96,5.4,NA,NA,NA,NA,NA,NA,2,30,VERTI,5.77666666666667,0.326241219549789,18.8897,1.06680878792781,-128.95707,53.45374
2013,1,MCK,N,9,2013-07-07 08:34:13,6.37,6.566,5.98,NA,NA,NA,NA,NA,NA,1,0,VERTI,6.30533333333333,0.298304095401544,20.61844,0.975454391963049,-128.90926,53.41856667
2013,1,MCK,N,8,2013-07-07 09:46:38,6.71,6.785,7.06,NA,NA,NA,NA,NA,NA,1,0,VERTI,6.85166666666667,0.1842778698958,22.40495,0.602588634559265,-128.8886333,53.38952333
2013,1,MCK,C,7,2013-07-07 10:31:35,7.07,8.606,7.53,NA,NA,NA,NA,NA,NA,2,0,VERTI,7.73533333333333,0.788318040725527,25.29454,2.57779999317247,-128.9029,53.356
2013,1,MCK,C,6,2013-07-07 11:07:22,7.07,6.16,6.38,NA,NA,NA,NA,NA,NA,1,0,VERTI,6.53666666666667,0.474798202748634,21.3749,1.55259012298803,-128.9198767,53.32552667
2013,1,MCK,C,5,2013-07-07 11:54:49,6.59,7.35,6.75,NA,NA,NA,NA,NA,NA,2,0,SLITE,6.89666666666667,0.400666112035112,22.5521,1.31017818635482,-128.8881133,53.30039
2013,1,MCK,C,4,2013-07-07 13:34:08,7.625,7.01,6.24,NA,NA,NA,NA,NA,NA,2,10,ACUTE,6.95833333333333,0.693944041932297,22.75375,2.26919701711861,-128.9421733,53.30567
2013,1,MCK,S,3,2013-07-08 07:53:40,7.154,7.072,7.57,NA,NA,NA,NA,NA,NA,0,25,VERTI,7.26533333333333,0.267015605037109,23.75764,0.873141028471345,-129.00831,53.30544
2013,1,MCK,S,2,2013-07-08 08:37:23,7.915,8.943,8.52,NA,NA,NA,NA,NA,NA,0,25,VERTI,8.45933333333333,0.516678171914909,27.66202,1.68953762216175,-129.05187,53.32432667
2013,1,MCK,S,1,2013-07-08 10:25:01,7.14,7.052,6.98,NA,NA,NA,NA,NA,NA,1,40,VERTI,7.05733333333333,0.0801332224070226,23.07748,0.262035637270965,-129.0853333,53.3041
2013,1,WRI,N,9,2013-07-13 07:32:41,9.13,9.755,9.44,NA,NA,NA,NA,NA,NA,1,100,VERTI,9.44166666666667,0.312503333315556,30.87425,1.02188589994187,-129.2065,53.44223333
2013,1,WRI,N,8,2013-07-13 09:32:41,9.11,8.488,8.39,NA,NA,NA,NA,NA,NA,1,80,VERTI,8.66266666666667,0.390488582846327,28.32692,1.27689766590749,-129.1863333,53.41746667
2013,1,WRI,N,7,2013-07-13 10:21:05,8.835,8.135,8.55,NA,NA,NA,NA,NA,NA,1,80,VERTI,8.50666666666667,0.352006155249214,27.8168,1.15106012766493,-129.2079,53.37356667
2013,1,WRI,C,6,2013-07-13 11:48:35,8.552,8.02,8.307,NA,NA,NA,NA,NA,NA,0,80,VERTI,8.293,0.266276172422543,27.11811,0.870723083821715,-129.1678467,53.35072
2013,1,WRI,C,5,2013-07-13 12:54:44,7.61,8.32,7.13,NA,NA,NA,NA,NA,NA,0,100,VERTI,7.68666666666667,0.598693020949245,25.1354,1.95772617850403,-129.2382333,53.33733333
2013,1,WRI,C,4,2013-07-13 13:43:53,6.432,6.06,6.91,NA,NA,NA,NA,NA,NA,1,100,VERTI,6.46733333333333,0.426100144723436,21.14818,1.39334747324564,-129.30709,53.35745
2013,1,WRI,S,3,2013-07-13 15:11:38,6.287,6.78,6.545,NA,NA,NA,NA,NA,NA,1,100,VERTI,6.53733333333333,0.246589402313508,21.37708,0.80634734556517,-129.3254467,53.32412667
2013,1,WRI,S,2,2013-07-13 16:40:52,7.81,7.31,7.671,NA,NA,NA,NA,NA,NA,1,100,SLITE,7.597,0.258083319879453,24.84219,0.843932456005811,-129.2720067,53.28670333
2013,1,WRI,S,1,2013-07-13 18:32:13,9.11,9.5,8.853,NA,NA,NA,NA,NA,NA,1,100,VERTI,9.15433333333333,0.325770369022926,29.93467,1.06526910670497,-129.3082,53.25
2013,1,SQU,N,9,2013-07-14 09:02:34,11.73,10.503,10.935,NA,NA,NA,NA,NA,NA,0,10,VERTI,11.056,0.622384929123449,36.15312,2.03519871823368,-129.50088,53.25352
2013,1,SQU,N,8,2013-07-14 10:17:50,10.1,11.061,10.73,NA,NA,NA,NA,NA,NA,0,10,VERTI,10.6303333333333,0.488190877970219,34.76119,1.59638417096261,-129.4242167,53.21946667
2013,1,SQU,C,7,2013-07-14 11:10:18,11.52,11.34,11.15,NA,NA,NA,NA,NA,NA,0,30,VERTI,11.3366666666667,0.185022521151705,37.0709,0.605023644166076,-129.35202,53.22059667
2013,1,SQU,C,6,2013-07-14 12:06:44,8.492,8.364,7.965,NA,NA,NA,NA,NA,NA,1,30,VERTI,8.27366666666667,0.274867847034413,27.05489,0.898817859802532,-129.3685467,53.18750333
2013,1,SQU,C,5,2013-07-14 13:53:56,10.732,9.94,9.75,NA,NA,NA,NA,NA,NA,1,30,VERTI,10.1406666666667,0.52084674649395,33.15998,1.70316886103522,-129.45398,53.15747
