,block,sta,mode,lat,long,color,dist2next,tlen,dist.nm,dist.km
1,CAA,1,stout,52.89065333,-129.1702267,black,6.413929661,3.206964831,2.063725199,3.822019069
2,CAA,2,stout,52.86760667,-129.2017167,black,6.413929661,3.206964831,2.064169651,3.822842194
3,CAA,3,lite,52.84456,-129.2332067,blue,12.4049729,6.202486452,2.155477586,3.99194449
4,CAA,4,stout,52.8503,-129.283985,black,12.4049729,6.202486452,2.155202243,3.991434553
5,CAA,5,stout,52.85604,-129.3347633,black,5.399254708,2.699627354,2.063981326,3.822493416
6,CAA,6,stout,52.88457334,-129.3200967,black,5.399254708,2.699627354,2.063862695,3.822273712
7,CAA,7,lite,52.91310667,-129.30543,blue,12.48804962,6.24402481,2.435275526,4.510130275
8,CAA,8,stout,52.91893667,-129.3630833,black,12.48804962,6.24402481,2.434960755,4.509547318
9,CAA,9,stout,52.92476667,-129.4207367,black,4.212044725,2.106022363,1.835272715,3.398925068
10,CAA,10,stout,52.95064667,-129.4107934,black,4.212044725,2.106022363,1.835217803,3.398823371
11,CAA,11,stout,52.97652667,-129.40085,black,8.096420964,4.048210482,1.926438004,3.567763183
12,CAA,12,lite,52.99319334,-129.4379834,blue,8.096420964,4.048210482,1.925956525,3.566871484
13,CAA,13,stout,53.00986,-129.4751167,black,NA,NA,NA,NA
14,CMP,1,stout,52.93953333,-129.2023,black,5.506522338,2.753261169,2.207138809,4.087621074
15,CMP,2,lite,52.958,-129.2455667,blue,4.464668342,2.232334171,2.20650795,4.086452723
16,CMP,3,stout,52.97646667,-129.2888333,black,4.618520877,2.309260438,2.117085792,3.920842887
17,CMP,4,stout,52.99266667,-129.2456267,black,5.513216929,2.756608464,2.116517255,3.919789957
18,CMP,5,stout,53.00886667,-129.20242,black,5.399926837,2.699963418,2.588315907,4.79356106
19,CMP,6,lite,53.03055,-129.25321,blue,5.693661053,2.846830527,2.587450773,4.791958832
